origin,destination,airline,date,price,days_until_departure
JER,CWL,AF,2025-05-18,1093,-1
JFK,ATL,AF,2025-05-18,473,-1
JFK,BCN,AF,2025-05-18,1086,-1
JFK,BRU,AF,2025-05-18,295,-1
JFK,CDG,AF,2025-05-18,1056,-1
JFK,DUB,AF,2025-05-18,937,-1
JFK,FRA,AF,2025-05-18,825,-1
JFK,LHR,AF,2025-05-18,1115,-1
JFK,MAD,AF,2025-05-18,709,-1
JFK,MSY,AF,2025-05-18,916,-1
JFK,NCE,AF,2025-05-18,632,-1
JFK,PAP,AF,2025-05-18,300,-1
JIB,CDG,AF,2025-05-18,666,-1
JNB,CDG,AF,2025-05-18,1092,-1
JRO,DAR,AF,2025-05-18,715,-1
KBP,CDG,AF,2025-05-18,1018,-1
KBV,BKK,AF,2025-05-18,403,-1
KGL,BJM,AF,2025-05-18,830,-1
KGL,EBB,AF,2025-05-18,690,-1
KIX,CDG,AF,2025-05-18,677,-1
KMG,CAN,AF,2025-05-18,206,-1
KTT,HEL,AF,2025-05-18,620,-1
KUL,AMS,AF,2025-05-18,403,-1
KUL,CDG,AF,2025-05-18,1008,-1
KUL,CGK,AF,2025-05-18,287,-1
KWI,AMS,AF,2025-05-18,1034,-1
KWI,DMM,AF,2025-05-18,282,-1
LAD,CDG,AF,2025-05-18,678,-1
LAS,ATL,AF,2025-05-18,429,-1
LAX,ATL,AF,2025-05-18,199,-1
LAX,CDG,AF,2025-05-18,981,-1
LAX,MSP,AF,2025-05-18,236,-1
LAX,OGG,AF,2025-05-18,753,-1
LAX,PPT,AF,2025-05-18,256,-1
LBV,CDG,AF,2025-05-18,842,-1
LCA,CDG,AF,2025-05-18,607,-1
LCY,AMS,AF,2025-05-18,1095,-1
LCY,ANR,AF,2025-05-18,746,-1
LCY,BES,AF,2025-05-18,1049,-1
LCY,BVE,AF,2025-05-18,1193,-1
LCY,DOL,AF,2025-05-18,740,-1
LCY,DRS,AF,2025-05-18,1176,-1
LCY,DUB,AF,2025-05-18,618,-1
LCY,FCO,AF,2025-05-18,972,-1
LCY,FLR,AF,2025-05-18,700,-1
LCY,LIN,AF,2025-05-18,270,-1
LCY,NTE,AF,2025-05-18,845,-1
LCY,ORY,AF,2025-05-18,670,-1
LCY,RTM,AF,2025-05-18,567,-1
LED,CDG,AF,2025-05-18,1172,-1
LEX,ATL,AF,2025-05-18,1066,-1
LFT,ATL,AF,2025-05-18,758,-1
LFW,CDG,AF,2025-05-18,287,-1
LGA,ATL,AF,2025-05-18,465,-1
LGG,AJA,AF,2025-05-18,169,-1
LGG,BIA,AF,2025-05-18,504,-1
LHR,ATL,AF,2025-05-18,938,-1
LHR,BOS,AF,2025-05-18,679,-1
LHR,CDG,AF,2025-05-18,343,-1
LHR,DTW,AF,2025-05-18,757,-1
LHR,JFK,AF,2025-05-18,116,-1
LHR,MSP,AF,2025-05-18,662,-1
LHR,SEA,AF,2025-05-18,1188,-1
LIG,SOU,AF,2025-05-18,416,-1
LIL,MRS,AF,2025-05-18,1050,-1
LIL,NCE,AF,2025-05-18,1039,-1
LIM,CDG,AF,2025-05-18,1155,-1
LIN,CDG,AF,2025-05-18,680,-1
LIN,LCY,AF,2025-05-18,713,-1
LIN,ORY,AF,2025-05-18,566,-1
LIR,ATL,AF,2025-05-18,869,-1
LIS,CDG,AF,2025-05-18,712,-1
LIT,ATL,AF,2025-05-18,475,-1
LJG,KMG,AF,2025-05-18,606,-1
LJU,CDG,AF,2025-05-18,176,-1
LLW,LUN,AF,2025-05-18,962,-1
LLW,NBO,AF,2025-05-18,330,-1
LOS,CDG,AF,2025-05-18,1047,-1
LPQ,BKK,AF,2025-05-18,217,-1
LRH,PIS,AF,2025-05-18,891,-1
LRH,SOU,AF,2025-05-18,365,-1
LUN,AMS,AF,2025-05-18,777,-1
LUN,HRE,AF,2025-05-18,1091,-1
LUN,LLW,AF,2025-05-18,1131,-1
LUN,NBO,AF,2025-05-18,652,-1
LUX,CDG,AF,2025-05-18,135,-1
LVI,HRE,AF,2025-05-18,1198,-1
LXA,CKG,AF,2025-05-18,772,-1
LYS,AJA,AF,2025-05-18,177,-1
LYS,AMS,AF,2025-05-18,104,-1
LYS,BHX,AF,2025-05-18,515,-1
LYS,BIA,AF,2025-05-18,577,-1
LYS,BLQ,AF,2025-05-18,1086,-1
LYS,BRU,AF,2025-05-18,1052,-1
LYS,CDG,AF,2025-05-18,104,-1
LYS,FCO,AF,2025-05-18,1158,-1
LYS,FLR,AF,2025-05-18,960,-1
LYS,GOT,AF,2025-05-18,376,-1
LYS,MLA,AF,2025-05-18,281,-1
LYS,MXP,AF,2025-05-18,311,-1
LYS,NCE,AF,2025-05-18,465,-1
LYS,ORY,AF,2025-05-18,977,-1
LYS,PIS,AF,2025-05-18,738,-1
LYS,PRG,AF,2025-05-18,445,-1
LYS,TLS,AF,2025-05-18,233,-1
LYS,VCE,AF,2025-05-18,949,-1
LYS,VIE,AF,2025-05-18,321,-1
MAD,ATL,AF,2025-05-18,533,-1
MAD,CDG,AF,2025-05-18,562,-1
MAD,JFK,AF,2025-05-18,1058,-1
MAD,ORY,AF,2025-05-18,1062,-1
MAN,ATL,AF,2025-05-18,1116,-1
MAN,CDG,AF,2025-05-18,927,-1
MAN,NTE,AF,2025-05-18,891,-1
MAO,GRU,AF,2025-05-18,351,-1
MBJ,ATL,AF,2025-05-18,185,-1
MCI,ATL,AF,2025-05-18,160,-1
MCO,ATL,AF,2025-05-18,389,-1
MCT,DOH,AF,2025-05-18,1186,-1
MDT,ATL,AF,2025-05-18,1026,-1
MDW,ATL,AF,2025-05-18,1096,-1
MEM,ATL,AF,2025-05-18,639,-1
MEX,ATL,AF,2025-05-18,1090,-1
MEX,CDG,AF,2025-05-18,962,-1
MGM,ATL,AF,2025-05-18,175,-1
MIA,ATL,AF,2025-05-18,352,-1
MIA,CDG,AF,2025-05-18,101,-1
MIA,PAP,AF,2025-05-18,844,-1
MKE,ATL,AF,2025-05-18,263,-1
MLA,CDG,AF,2025-05-18,1031,-1
MLA,LYS,AF,2025-05-18,750,-1
MLA,ORY,AF,2025-05-18,753,-1
MLA,TLS,AF,2025-05-18,338,-1
MLB,ATL,AF,2025-05-18,533,-1
MLH,ORY,AF,2025-05-18,754,-1
MLI,ATL,AF,2025-05-18,1090,-1
MLU,ATL,AF,2025-05-18,1009,-1
MNL,TPE,AF,2025-05-18,358,-1
MOB,ATL,AF,2025-05-18,395,-1
MPL,CDG,AF,2025-05-18,1078,-1
MPL,FCO,AF,2025-05-18,853,-1
MPL,ORY,AF,2025-05-18,331,-1
MRS,AJA,AF,2025-05-18,1058,-1
MRS,ALG,AF,2025-05-18,467,-1
MRS,AMS,AF,2025-05-18,973,-1
MRS,ATH,AF,2025-05-18,159,-1
MRS,BES,AF,2025-05-18,785,-1
MRS,BIA,AF,2025-05-18,156,-1
MRS,BIQ,AF,2025-05-18,572,-1
MRS,BOD,AF,2025-05-18,782,-1
MRS,CDG,AF,2025-05-18,984,-1
MRS,CLY,AF,2025-05-18,576,-1
MRS,FCO,AF,2025-05-18,847,-1
MRS,FSC,AF,2025-05-18,481,-1
MRS,IST,AF,2025-05-18,258,-1
MRS,LIL,AF,2025-05-18,1183,-1
MRS,MXP,AF,2025-05-18,163,-1
MRS,NTE,AF,2025-05-18,924,-1
MRS,ORY,AF,2025-05-18,582,-1
MRS,PRG,AF,2025-05-18,239,-1
MRS,RAK,AF,2025-05-18,1051,-1
MRS,RNS,AF,2025-05-18,874,-1
MRS,SVO,AF,2025-05-18,329,-1
MRS,TLV,AF,2025-05-18,671,-1
MRS,TUN,AF,2025-05-18,1094,-1
MRS,TXL,AF,2025-05-18,640,-1
MRS,VCE,AF,2025-05-18,427,-1
MRU,CDG,AF,2025-05-18,1016,-1
MRU,RUN,AF,2025-05-18,251,-1
MRU,ZSE,AF,2025-05-18,175,-1
MSN,ATL,AF,2025-05-18,1060,-1
MSP,ATL,AF,2025-05-18,920,-1
MSP,CDG,AF,2025-05-18,694,-1
MSP,LAX,AF,2025-05-18,398,-1
MSP,LHR,AF,2025-05-18,528,-1
MSP,MSY,AF,2025-05-18,905,-1
MSP,SEA,AF,2025-05-18,528,-1
MSP,SFO,AF,2025-05-18,826,-1
MSY,ATL,AF,2025-05-18,235,-1
MSY,DTW,AF,2025-05-18,821,-1
MSY,JFK,AF,2025-05-18,460,-1
MSY,MSP,AF,2025-05-18,381,-1
MTY,ATL,AF,2025-05-18,300,-1
MUC,ATL,AF,2025-05-18,1105,-1
MUC,CDG,AF,2025-05-18,440,-1
MVD,EZE,AF,2025-05-18,1035,-1
MXP,LYS,AF,2025-05-18,1094,-1
MXP,MRS,AF,2025-05-18,777,-1
MXP,NTE,AF,2025-05-18,1070,-1
MYR,ATL,AF,2025-05-18,837,-1
NAP,CDG,AF,2025-05-18,238,-1
NAS,ATL,AF,2025-05-18,940,-1
NBO,CDG,AF,2025-05-18,907,-1
NBO,DZA,AF,2025-05-18,283,-1
NBO,HRE,AF,2025-05-18,699,-1
NBO,KGL,AF,2025-05-18,269,-1
NBO,LLW,AF,2025-05-18,591,-1
NBO,LUN,AF,2025-05-18,856,-1
NBO,LVI,AF,2025-05-18,851,-1
NBS,SHE,AF,2025-05-18,1003,-1
NCE,AJA,AF,2025-05-18,103,-1
NCE,AMS,AF,2025-05-18,1151,-1
NCE,BIA,AF,2025-05-18,630,-1
NCE,CDG,AF,2025-05-18,908,-1
NCE,CLY,AF,2025-05-18,1038,-1
NCE,FCO,AF,2025-05-18,754,-1
NCE,FSC,AF,2025-05-18,787,-1
NCE,JFK,AF,2025-05-18,1187,-1
NCE,LIL,AF,2025-05-18,1200,-1
NCE,LYS,AF,2025-05-18,704,-1
NCE,NTE,AF,2025-05-18,642,-1
NCE,ORY,AF,2025-05-18,994,-1
NCE,SOU,AF,2025-05-18,511,-1
NCE,SXB,AF,2025-05-18,615,-1
NCE,TLV,AF,2025-05-18,159,-1
NCE,VCE,AF,2025-05-18,403,-1
NCL,CDG,AF,2025-05-18,1040,-1
NDJ,CDG,AF,2025-05-18,601,-1
NIM,CDG,AF,2025-05-18,644,-1
NIM,OUA,AF,2025-05-18,842,-1
NKC,CDG,AF,2025-05-18,676,-1
NKC,CKY,AF,2025-05-18,500,-1
NRT,CDG,AF,2025-05-18,411,-1
NRT,SPN,AF,2025-05-18,760,-1
NSI,CDG,AF,2025-05-18,488,-1
NTE,AJA,AF,2025-05-18,1085,-1
NTE,AMS,AF,2025-05-18,480,-1
NTE,BIA,AF,2025-05-18,395,-1
NTE,BOD,AF,2025-05-18,564,-1
NTE,BRU,AF,2025-05-18,1119,-1
NTE,CDG,AF,2025-05-18,1189,-1
NTE,DUS,AF,2025-05-18,432,-1
NTE,LCY,AF,2025-05-18,1152,-1
NTE,MAN,AF,2025-05-18,1189,-1
NTE,MRS,AF,2025-05-18,163,-1
NTE,MXP,AF,2025-05-18,418,-1
NTE,NCE,AF,2025-05-18,933,-1
NTE,ORY,AF,2025-05-18,127,-1
NTE,SOU,AF,2025-05-18,1128,-1
NUE,CDG,AF,2025-05-18,877,-1
OAJ,ATL,AF,2025-05-18,1028,-1
OKC,ATL,AF,2025-05-18,616,-1
OMA,ATL,AF,2025-05-18,1085,-1
ORD,ATL,AF,2025-05-18,615,-1
ORD,CDG,AF,2025-05-18,784,-1
ORF,ATL,AF,2025-05-18,1036,-1
ORY,AJA,AF,2025-05-18,1059,-1
ORY,BES,AF,2025-05-18,288,-1
ORY,BIA,AF,2025-05-18,954,-1
ORY,BIQ,AF,2025-05-18,436,-1
ORY,BOD,AF,2025-05-18,455,-1
ORY,CAY,AF,2025-05-18,1094,-1
ORY,CFE,AF,2025-05-18,515,-1
ORY,CLY,AF,2025-05-18,225,-1
ORY,CWL,AF,2025-05-18,301,-1
ORY,FDF,AF,2025-05-18,122,-1
ORY,LCY,AF,2025-05-18,755,-1
ORY,LIN,AF,2025-05-18,211,-1
ORY,LYS,AF,2025-05-18,697,-1
ORY,MAD,AF,2025-05-18,338,-1
ORY,MLA,AF,2025-05-18,956,-1
ORY,MLH,AF,2025-05-18,981,-1
ORY,MPL,AF,2025-05-18,533,-1
ORY,MRS,AF,2025-05-18,601,-1
ORY,NCE,AF,2025-05-18,182,-1
ORY,NTE,AF,2025-05-18,399,-1
ORY,PMI,AF,2025-05-18,193,-1
ORY,PTP,AF,2025-05-18,878,-1
ORY,PUF,AF,2025-05-18,1001,-1
ORY,RUN,AF,2025-05-18,692,-1
ORY,SOU,AF,2025-05-18,1115,-1
ORY,SXB,AF,2025-05-18,1122,-1
ORY,TLN,AF,2025-05-18,518,-1
ORY,TLS,AF,2025-05-18,226,-1
OSL,CDG,AF,2025-05-18,468,-1
OTP,CDG,AF,2025-05-18,602,-1
OUA,CDG,AF,2025-05-18,959,-1
OUA,NIM,AF,2025-05-18,348,-1
PAP,JFK,AF,2025-05-18,873,-1
PAP,MIA,AF,2025-05-18,780,-1
PAP,PTP,AF,2025-05-18,1037,-1
PBI,ATL,AF,2025-05-18,972,-1
PDX,ATL,AF,2025-05-18,947,-1
PEK,CDG,AF,2025-05-18,783,-1
PHC,ABV,AF,2025-05-18,330,-1
PHF,ATL,AF,2025-05-18,317,-1
PHL,ATL,AF,2025-05-18,789,-1
PHL,CDG,AF,2025-05-18,472,-1
PHX,ATL,AF,2025-05-18,880,-1
PIA,ATL,AF,2025-05-18,1119,-1
PIS,LRH,AF,2025-05-18,974,-1
PIS,LYS,AF,2025-05-18,816,-1
PIT,ATL,AF,2025-05-18,908,-1
PIT,CDG,AF,2025-05-18,532,-1
PMI,ORY,AF,2025-05-18,635,-1
PNR,CDG,AF,2025-05-18,541,-1
PNS,ATL,AF,2025-05-18,272,-1
PPT,LAX,AF,2025-05-18,317,-1
PRG,CDG,AF,2025-05-18,663,-1
PRG,LYS,AF,2025-05-18,273,-1
PRG,MRS,AF,2025-05-18,748,-1
PTP,FDF,AF,2025-05-18,424,-1
PTP,ORY,AF,2025-05-18,336,-1
PTP,PAP,AF,2025-05-18,902,-1
PTP,SDQ,AF,2025-05-18,535,-1
PTY,ATL,AF,2025-05-18,779,-1
PTY,CDG,AF,2025-05-18,1015,-1
PUF,CDG,AF,2025-05-18,170,-1
PUF,ORY,AF,2025-05-18,886,-1
PUJ,CDG,AF,2025-05-18,554,-1
PUJ,SDQ,AF,2025-05-18,751,-1
PVD,ATL,AF,2025-05-18,674,-1
PVG,CDG,AF,2025-05-18,1152,-1
PVR,ATL,AF,2025-05-18,798,-1
RAK,MRS,AF,2025-05-18,1068,-1
RAK,TLS,AF,2025-05-18,986,-1
RBA,CDG,AF,2025-05-18,486,-1
RDU,ATL,AF,2025-05-18,311,-1
REP,HAN,AF,2025-05-18,927,-1
RIC,ATL,AF,2025-05-18,425,-1
RIX,CDG,AF,2025-05-18,820,-1
RNS,CDG,AF,2025-05-18,701,-1
RNS,EXT,AF,2025-05-18,323,-1
RNS,MRS,AF,2025-05-18,512,-1
RNS,SOU,AF,2025-05-18,657,-1
ROA,ATL,AF,2025-05-18,938,-1
ROB,FNA,AF,2025-05-18,476,-1
ROC,ATL,AF,2025-05-18,149,-1
ROR,NRT,AF,2025-05-18,368,-1
RSW,ATL,AF,2025-05-18,918,-1
RTM,LCY,AF,2025-05-18,1171,-1
RUH,CDG,AF,2025-05-18,514,-1
RUN,MRU,AF,2025-05-18,936,-1
RUN,ORY,AF,2025-05-18,997,-1
SAN,ATL,AF,2025-05-18,977,-1
SAT,ATL,AF,2025-05-18,231,-1
SAV,ATL,AF,2025-05-18,596,-1
SBN,ATL,AF,2025-05-18,686,-1
SCL,CDG,AF,2025-05-18,1035,-1
SDF,ATL,AF,2025-05-18,1020,-1
SDQ,CDG,AF,2025-05-18,610,-1
SDQ,PTP,AF,2025-05-18,1059,-1
SEA,ATL,AF,2025-05-18,713,-1
SEA,CDG,AF,2025-05-18,829,-1
SEA,HNL,AF,2025-05-18,700,-1
SEA,LHR,AF,2025-05-18,1189,-1
SFO,ATL,AF,2025-05-18,669,-1
SFO,CDG,AF,2025-05-18,146,-1
SFO,HNL,AF,2025-05-18,1113,-1
SGF,ATL,AF,2025-05-18,170,-1
SGN,CDG,AF,2025-05-18,844,-1
SHE,CAN,AF,2025-05-18,200,-1
SHE,NBS,AF,2025-05-18,663,-1
SHV,ATL,AF,2025-05-18,609,-1
SIN,CDG,AF,2025-05-18,417,-1
SJD,ATL,AF,2025-05-18,338,-1
SJO,ATL,AF,2025-05-18,1162,-1
SJU,ATL,AF,2025-05-18,271,-1
SLC,ATL,AF,2025-05-18,148,-1
SLC,CDG,AF,2025-05-18,526,-1
SLU,FDF,AF,2025-05-18,985,-1
SMF,ATL,AF,2025-05-18,157,-1
SNA,ATL,AF,2025-05-18,1077,-1
SOF,CDG,AF,2025-05-18,1196,-1
SOU,BES,AF,2025-05-18,172,-1
SOU,EGC,AF,2025-05-18,508,-1
SOU,LIG,AF,2025-05-18,370,-1
SOU,LRH,AF,2025-05-18,814,-1
SOU,NCE,AF,2025-05-18,346,-1
SOU,NTE,AF,2025-05-18,887,-1
SOU,ORY,AF,2025-05-18,1150,-1
SOU,RNS,AF,2025-05-18,520,-1
SRQ,ATL,AF,2025-05-18,1156,-1
SSG,DLA,AF,2025-05-18,495,-1
STL,ATL,AF,2025-05-18,1122,-1
STM,MAO,AF,2025-05-18,1159,-1
STR,ATL,AF,2025-05-18,694,-1
STR,CDG,AF,2025-05-18,1004,-1
STT,ATL,AF,2025-05-18,895,-1
SVG,CDG,AF,2025-05-18,385,-1
SVO,CDG,AF,2025-05-18,1064,-1
SVO,MRS,AF,2025-05-18,549,-1
SVQ,TLS,AF,2025-05-18,757,-1
SXB,AMS,AF,2025-05-18,540,-1
SXB,FCO,AF,2025-05-18,913,-1
SXB,NCE,AF,2025-05-18,914,-1
SXB,ORY,AF,2025-05-18,289,-1
SXB,TLS,AF,2025-05-18,866,-1
SXM,CDG,AF,2025-05-18,715,-1
SYR,ATL,AF,2025-05-18,497,-1
TBS,CDG,AF,2025-05-18,392,-1
TLH,ATL,AF,2025-05-18,364,-1
TLN,ORY,AF,2025-05-18,674,-1
TLS,AJA,AF,2025-05-18,694,-1
TLS,AMS,AF,2025-05-18,500,-1
TLS,ATH,AF,2025-05-18,845,-1
TLS,CDG,AF,2025-05-18,633,-1
TLS,CMN,AF,2025-05-18,808,-1
TLS,FCO,AF,2025-05-18,109,-1
TLS,HAM,AF,2025-05-18,164,-1
TLS,LYS,AF,2025-05-18,675,-1
TLS,MLA,AF,2025-05-18,736,-1
TLS,ORY,AF,2025-05-18,1041,-1
TLS,RAK,AF,2025-05-18,1002,-1
TLS,SVQ,AF,2025-05-18,1125,-1
TLS,SXB,AF,2025-05-18,747,-1
TLS,VCE,AF,2025-05-18,893,-1
TLV,CDG,AF,2025-05-18,438,-1
TLV,MRS,AF,2025-05-18,394,-1
TLV,NCE,AF,2025-05-18,969,-1
TNR,CDG,AF,2025-05-18,222,-1
TPA,ATL,AF,2025-05-18,391,-1
TPE,AMS,AF,2025-05-18,1052,-1
TPE,MNL,AF,2025-05-18,1161,-1
TRI,ATL,AF,2025-05-18,916,-1
TRN,CDG,AF,2025-05-18,547,-1
TUL,ATL,AF,2025-05-18,504,-1
TUN,CDG,AF,2025-05-18,877,-1
TUN,MRS,AF,2025-05-18,630,-1
TUS,ATL,AF,2025-05-18,599,-1
TXL,CDG,AF,2025-05-18,845,-1
TXL,MRS,AF,2025-05-18,911,-1
TYS,ATL,AF,2025-05-18,770,-1
UIO,GYE,AF,2025-05-18,1011,-1
VCE,CDG,AF,2025-05-18,915,-1
VCE,LYS,AF,2025-05-18,681,-1
VCE,MRS,AF,2025-05-18,416,-1
VCE,NCE,AF,2025-05-18,460,-1
VCE,TLS,AF,2025-05-18,882,-1
VGO,CDG,AF,2025-05-18,665,-1
VIE,CDG,AF,2025-05-18,591,-1
VIE,LYS,AF,2025-05-18,501,-1
VLC,CDG,AF,2025-05-18,641,-1
VLD,ATL,AF,2025-05-18,100,-1
VPS,ATL,AF,2025-05-18,578,-1
VRN,CDG,AF,2025-05-18,863,-1
WAW,CDG,AF,2025-05-18,703,-1
WUH,CAN,AF,2025-05-18,264,-1
WUH,CDG,AF,2025-05-18,1077,-1
WUH,ENH,AF,2025-05-18,1143,-1
XNA,ATL,AF,2025-05-18,453,-1
YUL,ATL,AF,2025-05-18,564,-1
YUL,CDG,AF,2025-05-18,785,-1
YYZ,ATL,AF,2025-05-18,729,-1
YYZ,CDG,AF,2025-05-18,559,-1
ZAG,CDG,AF,2025-05-18,1187,-1
ZRH,CDG,AF,2025-05-18,1160,-1
ZSE,MRU,AF,2025-05-18,712,-1
AAE,ALG,AH,2025-05-18,534,-1
AAE,CDG,AH,2025-05-18,700,-1
AAE,IST,AH,2025-05-18,415,-1
AAE,LYS,AH,2025-05-18,662,-1
AAE,MRS,AH,2025-05-18,584,-1
AAE,ORN,AH,2025-05-18,1115,-1
AAE,ORY,AH,2025-05-18,495,-1
ABJ,ALG,AH,2025-05-18,390,-1
ALC,ALG,AH,2025-05-18,1142,-1
ALC,ORN,AH,2025-05-18,852,-1
ALG,AAE,AH,2025-05-18,906,-1
ALG,ABJ,AH,2025-05-18,250,-1
ALG,ALC,AH,2025-05-18,913,-1
ALG,AMM,AH,2025-05-18,868,-1
ALG,AZR,AH,2025-05-18,477,-1
ALG,BCN,AH,2025-05-18,341,-1
ALG,BEY,AH,2025-05-18,1065,-1
ALG,BJA,AH,2025-05-18,768,-1
ALG,BKO,AH,2025-05-18,386,-1
ALG,BLJ,AH,2025-05-18,1155,-1
ALG,BOD,AH,2025-05-18,280,-1
ALG,BRU,AH,2025-05-18,934,-1
ALG,BSK,AH,2025-05-18,106,-1
ALG,CAI,AH,2025-05-18,919,-1
ALG,CDG,AH,2025-05-18,979,-1
ALG,CMN,AH,2025-05-18,107,-1
ALG,CZL,AH,2025-05-18,664,-1
ALG,DJG,AH,2025-05-18,739,-1
ALG,DKR,AH,2025-05-18,121,-1
ALG,DXB,AH,2025-05-18,1156,-1
ALG,EBH,AH,2025-05-18,738,-1
ALG,ELU,AH,2025-05-18,158,-1
ALG,ETZ,AH,2025-05-18,415,-1
ALG,FCO,AH,2025-05-18,284,-1
ALG,FRA,AH,2025-05-18,555,-1
ALG,GHA,AH,2025-05-18,1072,-1
ALG,GVA,AH,2025-05-18,514,-1
ALG,HME,AH,2025-05-18,1077,-1
ALG,HRM,AH,2025-05-18,730,-1
ALG,INZ,AH,2025-05-18,1170,-1
ALG,IST,AH,2025-05-18,477,-1
ALG,LHR,AH,2025-05-18,1024,-1
ALG,LIL,AH,2025-05-18,208,-1
ALG,LIS,AH,2025-05-18,216,-1
ALG,LYS,AH,2025-05-18,771,-1
ALG,MAD,AH,2025-05-18,744,-1
ALG,MRS,AH,2025-05-18,153,-1
ALG,MUW,AH,2025-05-18,191,-1
ALG,MXP,AH,2025-05-18,868,-1
ALG,MZW,AH,2025-05-18,121,-1
ALG,NCE,AH,2025-05-18,890,-1
ALG,NIM,AH,2025-05-18,174,-1
ALG,OGX,AH,2025-05-18,637,-1
ALG,ORN,AH,2025-05-18,1158,-1
ALG,ORY,AH,2025-05-18,312,-1
ALG,OUA,AH,2025-05-18,1015,-1
ALG,PEK,AH,2025-05-18,1148,-1
ALG,PMI,AH,2025-05-18,626,-1
ALG,QSF,AH,2025-05-18,185,-1
ALG,SVO,AH,2025-05-18,1174,-1
ALG,TEE,AH,2025-05-18,975,-1
ALG,TGR,AH,2025-05-18,1055,-1
ALG,TID,AH,2025-05-18,247,-1
ALG,TIP,AH,2025-05-18,422,-1
ALG,TLM,AH,2025-05-18,673,-1
ALG,TLS,AH,2025-05-18,814,-1
ALG,TUN,AH,2025-05-18,791,-1
ALG,VIE,AH,2025-05-18,831,-1
ALG,YUL,AH,2025-05-18,222,-1
AMM,ALG,AH,2025-05-18,815,-1
AZR,ALG,AH,2025-05-18,715,-1
AZR,BMW,AH,2025-05-18,735,-1
AZR,CZL,AH,2025-05-18,843,-1
AZR,INZ,AH,2025-05-18,551,-1
AZR,OGX,AH,2025-05-18,625,-1
AZR,ORN,AH,2025-05-18,322,-1
BCN,ALG,AH,2025-05-18,600,-1
BCN,ORN,AH,2025-05-18,128,-1
BEY,ALG,AH,2025-05-18,368,-1
BJA,ALG,AH,2025-05-18,472,-1
BJA,LYS,AH,2025-05-18,795,-1
BJA,MRS,AH,2025-05-18,473,-1
BJA,ORY,AH,2025-05-18,1162,-1
BKO,ALG,AH,2025-05-18,1187,-1
BLJ,ALG,AH,2025-05-18,365,-1
BLJ,LYS,AH,2025-05-18,286,-1
BLJ,MRS,AH,2025-05-18,427,-1
BLJ,ORY,AH,2025-05-18,476,-1
BMW,AZR,AH,2025-05-18,922,-1
BOD,ALG,AH,2025-05-18,901,-1
BRU,ALG,AH,2025-05-18,483,-1
BSK,ALG,AH,2025-05-18,505,-1
BSK,LYS,AH,2025-05-18,1092,-1
BSK,ORY,AH,2025-05-18,1127,-1
CAI,ALG,AH,2025-05-18,998,-1
CBH,ORN,AH,2025-05-18,1157,-1
CDG,AAE,AH,2025-05-18,620,-1
CDG,ALG,AH,2025-05-18,141,-1
CDG,CZL,AH,2025-05-18,220,-1
CDG,ORN,AH,2025-05-18,363,-1
CFK,MRS,AH,2025-05-18,329,-1
CMN,ALG,AH,2025-05-18,442,-1
CMN,ORN,AH,2025-05-18,1026,-1
CZL,ALG,AH,2025-05-18,582,-1
CZL,AZR,AH,2025-05-18,661,-1
CZL,CDG,AH,2025-05-18,294,-1
CZL,GHA,AH,2025-05-18,220,-1
CZL,HME,AH,2025-05-18,350,-1
CZL,IST,AH,2025-05-18,575,-1
CZL,LYS,AH,2025-05-18,1041,-1
CZL,MLH,AH,2025-05-18,654,-1
CZL,MRS,AH,2025-05-18,455,-1
CZL,NCE,AH,2025-05-18,1063,-1
CZL,ORN,AH,2025-05-18,637,-1
CZL,ORY,AH,2025-05-18,510,-1
DJG,OGX,AH,2025-05-18,119,-1
DJG,TMR,AH,2025-05-18,811,-1
DKR,ALG,AH,2025-05-18,681,-1
DXB,ALG,AH,2025-05-18,955,-1
EBH,ALG,AH,2025-05-18,868,-1
ELG,OGX,AH,2025-05-18,874,-1
ELG,TMR,AH,2025-05-18,508,-1
ELU,ALG,AH,2025-05-18,659,-1
ETZ,ALG,AH,2025-05-18,1077,-1
FCO,ALG,AH,2025-05-18,1190,-1
FRA,ALG,AH,2025-05-18,590,-1
GHA,ALG,AH,2025-05-18,965,-1
GHA,CZL,AH,2025-05-18,1037,-1
GHA,ORN,AH,2025-05-18,206,-1
GHA,TMR,AH,2025-05-18,732,-1
GVA,ALG,AH,2025-05-18,804,-1
HME,ALG,AH,2025-05-18,918,-1
HME,CZL,AH,2025-05-18,945,-1
HME,HRM,AH,2025-05-18,783,-1
HME,IAM,AH,2025-05-18,1170,-1
HME,ORN,AH,2025-05-18,544,-1
HRM,ALG,AH,2025-05-18,364,-1
HRM,HME,AH,2025-05-18,434,-1
IAM,HME,AH,2025-05-18,941,-1
IAM,OGX,AH,2025-05-18,1054,-1
INZ,ALG,AH,2025-05-18,997,-1
INZ,TMR,AH,2025-05-18,1115,-1
IST,AAE,AH,2025-05-18,248,-1
IST,ALG,AH,2025-05-18,1092,-1
IST,CZL,AH,2025-05-18,878,-1
IST,ORN,AH,2025-05-18,961,-1
LHR,ALG,AH,2025-05-18,871,-1
LIL,ALG,AH,2025-05-18,482,-1
LIL,ORN,AH,2025-05-18,345,-1
LIS,ALG,AH,2025-05-18,631,-1
LYS,AAE,AH,2025-05-18,867,-1
LYS,ALG,AH,2025-05-18,1110,-1
LYS,BJA,AH,2025-05-18,453,-1
LYS,BLJ,AH,2025-05-18,387,-1
